      时间,Open,High,Low,Close,Volume,成交额.上海成交额比例,成交额.深圳成交额比例,成交额.      ,成交额.      ,成交额.      ,SIMP_LEI.VAR1  ,SIMP_LEI.EE    ,E_OUTPUT,SIMP_LEI.F_OUTPUT,SIMP_LEI.G_OUTPUT,SIMP_LEI.      ,SIMP_LEI.      ,SIMP_LEI.      ,SIMP_LEI.      ,SIMP_LEI.      ,SIMP_LEI.      ,SIMP_LEI.      ,SIMP_LEI.C_30  ,SIMP_LEI.C_6869,试函数.沪深300红线率,试函数.      ,试函数.沪深300平均E,试函数.AVGE_INRANGE,试函数.过年线,试函数.是否过TOP,试函数.满足成交量,试函数.成交量,试函数.前高成交量,试函数.是否FINAL_COND,试函数.FLOW_TOP_TOP,试函数.BOTTOM_LINE,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.四大平均平均,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,FLOW_TOP_AE.沪深300红线率,FLOW_TOP_AE.沪深300平均E,FLOW_TOP_AE.AVGE_INRANGE,FLOW_TOP_AE.过年线,FLOW_TOP_AE.是否过TOP,FLOW_TOP_AE.满足成交量,FLOW_TOP_AE.成交量,FLOW_TOP_AE.前高成交量,FLOW_TOP_AE.是否FINAL_COND,FLOW_TOP_AE.FLOW_TOP_TOP,FLOW_TOP_AE.BOTTOM_LINE,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,四大平均E.创业300平均E,四大平均E.中证500平均E,四大平均E.上证50平均E,四大平均E.沪深300平均E,四大平均E.四大平均平均,四大平均E.      ,四大平均E.      ,四大平均E.      ,四大平均E.      ,四大平均E.      ,四大平均E.      ,四大平均E.      ,四大平均E.      ,  VOL.VOLUME,  VOL.MAVOL1,  VOL.MAVOL2
 2004/02/24,1090.25,1095.94,1072.33,1093.1,8449382,63.11,36.89,60,40,50,33.01,46.51,27.82,40.24,5.2,80,68.69,30,10,0,45,70,1086.63,972.03,0,0,26.58,           ,           ,0,           ,8449382,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0,26.58,           ,           ,0,           ,8449382,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,25.71,15.1,26.58,           ,0,0,0,30,40,50,70,80,8449382,7693033,8063721
 2004/02/25,1094.43,1104.35,1067.13,1070.36,8064055,62.71,37.29,60,40,50,48.37,23.25,38.09,31.5,10.27,80,68.69,30,10,0,45,70,1094.33,979.73,0.74,0,33.69,           ,           ,0,           ,8064055,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0.74,33.69,           ,           ,0,           ,8064055,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,33.15,17.92,33.69,           ,0,0,0,30,40,50,70,80,8064055,7687102,7945494.5
 2004/02/26,1068.13,1080.23,1061.2,1079.9,8100890,61.48,38.52,60,40,50,41.92,11.63,40.01,28.46,1.92,80,68.69,30,10,0,45,70,1109.54,994.94,0,0,37.43,           ,           ,0,           ,8100890,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0,37.43,           ,           ,0,           ,8100890,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,38.12,18.39,37.43,           ,0,0,0,30,40,50,70,80,8100890,7881119,7797424
 2004/02/27,1081.71,1090.89,1079.93,1088.72,7293069,62.06,37.94,60,40,50,35.97,8.85,37.99,28.33,-2.02,80,68.69,30,10,0,45,70,1112.38,997.79,0,0,36.45,           ,           ,0,           ,7293069,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0,36.45,           ,           ,0,           ,7293069,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,37.76,17.99,36.45,           ,0,0,0,30,40,50,70,80,7293069,8141981,7836248.5
 2004/03/01,1089.65,1095.23,1076.08,1094.24,6441715,60.13,39.87,60,40,50,32.24,11.78,35.11,29.66,-2.88,80,68.69,30,10,0,45,70,1109.39,994.79,0.74,0,33.84,           ,           ,0,           ,6441715,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0.74,33.84,           ,           ,0,           ,6441715,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,35.29,17.58,33.84,           ,0,0,0,30,40,50,70,80,6441715,7669822,7718079
 2004/03/02,1096.1,1099.71,1086.72,1093.39,5577318,60.23,39.77,60,40,50,32.82,14.96,33.97,30.5,-1.14,80,68.69,30,10,0,45,70,1105.13,990.53,0,0,33.94,           ,           ,0,           ,5577318,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0,33.94,           ,           ,0,           ,5577318,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,34.63,17.5,33.94,           ,0,0,0,30,40,50,70,80,5577318,7095409.5,7394221.5
 2004/03/03,1093.36,1093.74,1067.94,1072.64,5214819,62.43,37.57,60,40,50,46.83,7.48,40.4,26.15,6.43,80,68.69,30,10,0,45,70,1103.44,988.84,0.73,0,37.65,           ,           ,0,           ,5214819,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0.73,37.65,           ,           ,0,           ,5214819,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,38.36,19.18,37.65,           ,0,0,0,30,40,50,70,80,5214819,6525562,7106332
 2004/03/04,1070.9,1079.27,1061.89,1078.35,4810433,61.55,38.45,60,40,50,47.6,3.74,44,24.34,3.6,80,68.69,30,10,0,45,70,1115.78,1012.32,1.47,0,38.53,           ,           ,0,           ,4810433,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,1.47,38.53,           ,           ,0,           ,4810433,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,38.62,19.92,38.53,           ,0,0,0,30,40,50,70,80,4810433,5867471,6874295
 2004/03/05,1080.34,1083.14,1070.3,1071.58,3365027,60.04,39.96,60,40,50,84.93,1.87,64.46,22.68,20.46,80,68.69,30,10,0,45,70,1128.73,1064.58,3.65,0,40.68,           ,           ,0,           ,3365027,           ,           ,           ,40,0,0,0,0,0,0,0,1,1,0,0,68.69,           ,0,0,0,30,40,50,70,80,3.65,40.68,           ,           ,0,           ,3365027,           ,           ,           ,40,0,0,0,0,0,0,1,1,0,0,68.69,           ,40.84,21.86,40.68,           ,0,0,0,30,40,50,70,80,3365027,5081862.5,6611921.5
 2004/03/08,1070.11,1075.75,1056.04,1057.1,4599849,61.36,38.64,60,40,50,98.77,0.93,81.62,16.99,17.16,80,68.69,30,10,0,45,70,1145.82,1079.32,5.88,0,46.53,           ,           ,0,           ,4599849,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,5.88,46.53,           ,           ,0,           ,4599849,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,46.64,24.29,46.53,           ,0,0,0,30,40,50,70,80,4599849,4713489,6191655.5
